id,nom,insee,adresse,emplacements,statut,latitude,longitude
75117-T-456,Courcelles / Flaubert,75117,105 RUE DE COURCELLES,3.0,en service,48.88179100416005,"2.300387250242627"
75115-T-384,Grenelle / Dupleix,75115,63 BOULEVARD DE GRENELLE,6.0,en service,48.850794114017184,"2.293154554477945"
75102-T-216,Italiens/Gramont,75102,19 BOULEVARD DES ITALIENS,8.0,en service,48.87123086482408,"2.3366872185827305"
75116-T-081,Trocadéro,75116,1 AVENUE D'EYLAU,17.0,en service,48.863363218793516,"2.286335674304802"
75110-T-037,Place Franz Liszt,75110,7 PLACE FRANZ LISZT,2.0,en service,48.877897709717736,"2.351257220669769"
75114-T-062,Porte de Vanves,75114,227 RUE RAYMOND LOSSERAND,4.0,en service,48.82810414854245,"2.3060579562766246"
75117-T-083,Maréchal Juin,75117,3 PLACE DU MARÉCHAL JUIN,10.0,en service,48.88438243694145,"2.2975874254185027"
75109-T-033,Place De Clichy,75109,95 RUE DE CLICHY,10.0,en service,48.88325649669491,"2.327475483068868"
75109-T-310,Haussmann /Arcade,75109,69 BOULEVARD HAUSSMANN,6.0,en service,48.87396869390043,"2.3251817600003424"
75115-T-401,Sèvres / Hopital Necker,75115,106 RUE DE SEVRES,6.0,en service,48.84574816574562,"2.313335777949898"
75107-T-919,BRANLY - LA BOURDONNAIS,75107,65 QUAI BRANLY,7.0,en service,48.86036661368688,"2.2955081994129705"
75117-T-439,Carnot / Acacias,75117,26 AVENUE CARNOT,9.0,en service,48.87694122624343,"2.2923510991608422"
75106-T-918,SAINT-SULPICE,75106,14 PLACE SAINT-SULPICE,6.0,en service,48.851177454606876,"2.3330882364639733"
75119-T-103,Flandre - Riquet,75119,69 AVENUE DE FLANDRE,8.0,en service,48.88869821813962,"2.373977229998454"
75120-T-111,Ménilmontant Belleville,75120,150 BOULEVARD DE MÉNILMONTANT,10.0,en service,48.86693303212116,"2.383647063410506"
75116-T-419,Maison de la radio,75116,1 PLACE CLEMENT ADER,5.0,en service,48.85125889395456,"2.2781892295064052"
75109-T-313,Maubeuge / Place Jose Rizal,75109,22 RUE DE MAUBEUGE,3.0,en service,48.87710802786406,"2.342643428862513"
