id;nom;insee;adresse;emplacements;no_appel;info;statut;geo_shape;geopoint;geopoint_datagouv
75108-T-029;Rond Point des Champs Elysées;75108;AVENUE MATIGNON;6;0142562900;;en service;"{""coordinates"": [2.3107694330161412, 48.86938752567032], ""type"": ""Point""}";48.86938752567032, 2.3107694330161412;2.3107694330161412, 48.86938752567032
75111-T-993;Voltaire;75111;boulevard voltaire;10;;;station provisoire;"{""coordinates"": [2.38110712141893, 48.85716423687006], ""type"": ""Point""}";48.85716423687006, 2.38110712141893;2.38110712141893, 48.85716423687006
75107-T-920;CHARLES FLOQUET;75107;6 AVENUE CHARLES FLOQUET;1;;;en service;"{""coordinates"": [2.2936710078127134, 48.85650793704694], ""type"": ""Point""}";48.85650793704694, 2.2936710078127134;2.2936710078127134, 48.85650793704694
75109-T-312;Place Pigalle;75109;11 PLACE PIGALLE;4;;;en service;"{""coordinates"": [2.336779083163067, 48.882241877512136], ""type"": ""Point""}";48.882241877512136, 2.336779083163067;2.336779083163067, 48.882241877512136
75120-T-490;Hôpital Tenon;75120;4 RUE DE LA CHINE;9;;;en service;"{""coordinates"": [2.400761748683666, 48.86571992177714], ""type"": ""Point""}";48.86571992177714, 2.400761748683666;2.400761748683666, 48.86571992177714
75109-T-322;Drouot;75109;12 RUE DROUOT;5;;;en service;"{""coordinates"": [2.34053049121832, 48.87291960270752], ""type"": ""Point""}";48.87291960270752, 2.34053049121832;2.34053049121832, 48.87291960270752
75104-T-236;Morland;75104;19 BOULEVARD MORLAND;3;;;en service;"{""coordinates"": [2.3625835367669503, 48.85053154499372], ""type"": ""Point""}";48.85053154499372, 2.3625835367669503;2.3625835367669503, 48.85053154499372
75107-T-248;Bosquet;75107;37 AVENUE BOSQUET;4;;;en service;"{""coordinates"": [2.303782498876099, 48.85866644467848], ""type"": ""Point""}";48.85866644467848, 2.303782498876099;2.303782498876099, 48.85866644467848
75108-T-259;George V / Pierre 1er de Serbie;75108;33 AVENUE GEORGE V;15;;su 33 au 37;en service;"{""coordinates"": [2.300758401069559, 48.86950627033426], ""type"": ""Point""}";48.86950627033426, 2.300758401069559;2.300758401069559, 48.86950627033426
75108-T-270;Rome / Constantinople;75108;56 RUE DE ROME;5;;;en service;"{""coordinates"": [2.3216854336863344, 48.879663487753284], ""type"": ""Point""}";48.879663487753284, 2.3216854336863344;2.3216854336863344, 48.879663487753284
75108-T-272;Saint Honoré / Matignon;75108;114 RUE DU FAUBOURG SAINT-HONORE;4;;;en service;"{""coordinates"": [2.314532247921116, 48.87175161982706], ""type"": ""Point""}";48.87175161982706, 2.314532247921116;2.314532247921116, 48.87175161982706
75112-T-355;Hôpital Rothschild;75112;1 RUE SANTERRE;4;;;en service;"{""coordinates"": [2.397595639037371, 48.84275840373098], ""type"": ""Point""}";48.84275840373098, 2.397595639037371;2.397595639037371, 48.84275840373098
75113-T-369;Hôpital Pitié Salpêtrière;75113;83 BOULEVARD DE L'HOPITAL;6;;;en service;"{""coordinates"": [2.3611649466821003, 48.838608524047864], ""type"": ""Point""}";48.838608524047864, 2.3611649466821003;2.3611649466821003, 48.838608524047864
